Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-1_Full64; Runtime version N-2017.12-SP2-1_Full64;  Mar 15 15:50 2020
start
Time|reset|load_in|CDB_PRF_idx|CDB_valid|opa_in|opa_valid_in|opb_in|opb_valid_in|opa_out|opb_out|num_is_free|is_free_hub|ready_hub|reset_hub
   0  x    x      xx        xxx   xxxxxxxx     x     xxxxxxxx     x    xxxxxxxx   xxxxxxxx      x    xxxxxxxxxxxxxxxx    xxxxxxxxxxxxxxxx     xxxxxxxxxxxxxxxx
  10  1    0      xx        xxx   xxxxxxxx     x     xxxxxxxx     x    00000000   00000000      x    xxxxxxxxxxxxxxxx    xxxxxxxxxxxxxxxx     1111111111111111
 846  0    1      33        010   b46afc68     1     1b0f0d36     1    09164d12   ff202efe     13    0011111111111110    1100000000000001     1100000000000001
 850  0    1      0b        010   8a47b614     1     ea7626d4     1    09164d12   ff202efe     13    0011111111111110    1100000000000001     1100000000000001
 856  0    1      0b        010   8a47b614     1     ea7626d4     1    87d0360f   d3666ea6     13    0011111111111110    1100000000000001     1100000000000001
 860  0    1      20        010   f0ea70e1     1     e4df16c9     1    87d0360f   d3666ea6     13    0011111111111110    1100000000000001     1100000000000001
 866  0    1      20        010   f0ea70e1     1     e4df16c9     1    468b618d   dc9974b9     13    0011111111111110    1100000000000001     1100000000000001
 870  0    1      10        010   39d65773     1     183fc330     1    468b618d   dc9974b9     13    0011111111111110    1100000000000001     1100000000000001
 876  0    1      10        010   39d65773     1     183fc330     1    2c0c5558   6e6d23dc     13    0011111111111110    1100000000000001     1100000000000001
 880  0    1      3a        010   29c01f53     1     c3be9287     1    2c0c5558   6e6d23dc     13    0011111111111110    1100000000000001     1100000000000001
 886  0    1      3a        010   29c01f53     1     c3be9287     1    d0b99aa1   2fef3d5f     13    0011111111111110    1100000000000001     1100000000000001
 890  0    1      00        010   892fc012     1     0acd1315     1    d0b99aa1   2fef3d5f     13    0011111111111110    1100000000000001     1100000000000001
 896  0    1      00        010   892fc012     1     0acd1315     1    98d73831   06db6b0d     13    0011111111111110    1100000000000001     1100000000000001
 900  0    1      27        010   e1e386c3     1     bc781078     1    98d73831   06db6b0d     13    0011111111111110    1100000000000001     1100000000000001
 906  0    1      27        010   e1e386c3     1     bc781078     1    098d1513   ee4ee6dc     13    0011111111111110    1100000000000001     1100000000000001
 910  0    1      0e        010   11534d22     1     c1406282     1    098d1513   ee4ee6dc     13    0011111111111110    1100000000000001     1100000000000001
 916  0    1      0e        010   11534d22     1     c1406282     1    1c421738   e3eb4cc7     13    0011111111111110    1100000000000001     1100000000000001
 920  0    1      02        010   3ac26f75     1     1c2a1338     1    1c421738   e3eb4cc7     13    0011111111111110    1100000000000001     1100000000000001
 926  0    1      02        010   3ac26f75     1     1c2a1338     1    84651408   8d7d721a     13    0011111111111110    1100000000000001     1100000000000001
 930  0    1      1b        010   32c3df65     1     aa138054     1    84651408   8d7d721a     13    0011111111111110    1100000000000001     1100000000000001
 936  0    1      1b        010   32c3df65     1     aa138054     1    5243e3a4   03703906     13    0011111111111110    1100000000000001     1100000000000001
